,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
48,"2 BHK in Queens Kurunji, KK Nagar","Pondicherry Guest House Kk Nagar, Munusamy Salai, Kk Nagar West, ...",15000,120000,750,UnFurnished,>10 years ,All,Ready to Move
49,"2 BHK in SBI Officers Colony, Alwarpet","155,st. Mary's Road,alwarpet, Chennai",26000,156000,1200,Semi Furnished,>10 years ,Family,Ready to Move
50,"2 BHK in Embassy Residency, Sholinganallur","Hcl Technologies, Sholinganallur, Chennai",25000,100000,1150,Full Furnished,3-5 years ,All,Ready to Move
51,"3 BHK in Skanda Apartment, Mogappair East",Golden George Nagar Near Sbioa Model Matriculation Higher Seconda ...,23000,200000,1153,Semi Furnished,Newly Constructed,Family,Ready to Move
52,2 BHK in Arumbakkam,"Independent House, Jawaharlal Nehru Salai Rd,near The Vijay Park ...",15500,100000,950,UnFurnished,5-10 years ,Family,Ready to Move
53,"3 BHK in Saraswathi Symphony, Adyar","Gandhi Nagar Club Swimming Pool, 1st Crescent Park Road, Gandhi N ...",55000,500000,1805,Semi Furnished,3-5 years ,All,Ready to Move
54,"3 BHK in swathi ayyappa flats, Annanagar East","New Avadi Rd, Icf Gandhi Nagar, Near Ratna Ayurveda Siddha Pharma ...",30000,200000,1666,Semi Furnished,>10 years ,Family,Ready to Move
55,"2 BHK in Shri Sharadamba Ananda Bhuvanam, Valasaravakkam","Krishnan Koil Street, Near Megamart",12000,60000,800,Semi Furnished,5-10 years ,All,Ready to Move
56,2 BHK in Chintadripet,"Independent House, Arunachala St Near Chintadripet Market",16000,150000,700,Semi Furnished,5-10 years ,Family,Ready to Move
57,"3 BHK in The Metrozone, Anna Nagar","Pillaiyar Koil Street, Behind Vcare Hospital, Off Jawaharlal Nehr ...",49000,300000,1555,Full Furnished,Newly Constructed,Company,Ready to Move
58,"2 BHK in MC SAI HOMES, Kolathur","Jeeva Street,near Rajamangalam Police Station",15000,100000,850,Semi Furnished,5-10 years ,Family,Ready to Move
59,1 RK in Iyyappanthangal,"Independent House, Mettu Street, Near Akshaya Bhavan",3700,18000,180,UnFurnished,3-5 years ,Bachelors,Ready to Move
60,"3 BHK in Prince Highlands, Iyyappanthangal","Old No. 1/1350, Mount Poonamallee Road, Iyyapanthangal, Chennai, ...",25000,100000,1700,Semi Furnished,Newly Constructed,All,Ready to Move
61,"3 BHK in Annie Illam, West Saidapet",( Little Mount) Thomas Nagar Near Shrine Of Our Lady Of Good Heal ...,28000,200000,1550,Semi Furnished,>10 years ,All,Ready to Move
62,"3 BHK in AGS Colony, Mugalivakkam, Chennai, Tamil Nadu, India","Independent House, First Avenue",14000,100000,1200,UnFurnished,5-10 years ,Family,07-Apr-2019
63,"3 BHK in Shriniketan, Raja Annamalai Puram","2nd Cross Street, R K Nagar, Near Ragamalika Apartments",70000,700000,2200,Semi Furnished,Newly Constructed,All,Ready to Move
64,4 BHK in Madipakkam,"Independent House, Vallal Kari Street, Ram Nagar Near Total Gas A ...",29000,150000,2000,Semi Furnished,5-10 years ,Family,Ready to Move
65,"2 BHK in RAJAM APARTMENTS, Purasaiwakkam","Thakkar Street, Near Saravana Stores - Super Stores",18000,180000,735,Semi Furnished,>10 years ,Family,Ready to Move
66,"2 BHK in Bhaggyam Pragathi Phase-2, Karapakkam","Door No.138, Sapthagiri Nagar Main Road, Karapakkam, Chennai, Tam ...",30000,198000,1288,Full Furnished,Newly Constructed,Family,28-Feb-2019
67,"3 BHK in Appaswamy Greensville, Sholinganallur","Greensville - Appaswamy Real Estates Ltd, Old Mahabalipuram Road, ...",25000,150000,1508,Semi Furnished,Newly Constructed,Family,Ready to Move
68,"3 BHK in Jems Daffodils, Thoraipakkam","Near Akdr Golf Village, Old Mahabalipuram Road, Gandhi Nagar, Tho ...",23000,132000,1300,Semi Furnished,3-5 years ,Family,Ready to Move
69,"2 BHK in Guru raghavendra, Nangainallur","1st Main, Thillai Ganga Nagar, Near Sri Lakshmi Bakery",13000,75000,745,UnFurnished,>10 years ,Family,Ready to Move
70,2 BHK in Padi,"Standalone Building, Ts Krishna Colony, 3rd Cross St, Olympic Col ...",20000,200000,850,Semi Furnished,3-5 years ,All,01-Mar-2019
71,"4 BHK in Green Sparkle, Injambakkam","Sparkling Sands Ave,",75000,750000,2760,Semi Furnished,Newly Constructed,All,Ready to Move
72,1 BHK in Velachery,"Standalone Building, St. Britto?s Academy, Nethaji Road, Tnhb Col ...",7000,50000,430,Semi Furnished,>10 years ,Family,Ready to Move
73,"3 BHK in SCANYA PARADISE, Anakaputhur","Near Velco Cinemas,n.g.shankar, Pammal Main Road, Guru Swamy Naga ...",10000,50000,1050,Semi Furnished,1-3 years ,Family,Ready to Move
74,"3 BHK in Anjana Flat, Chromepet","Chokalingam St, Postal Nagar, Chromepet, Chennai, Tamil Nadu 6000 ...",13000,60000,1200,Semi Furnished,5-10 years ,All,Ready to Move
75,"3 BHK in Alliance Orchid Springs, Korattur","Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu, India ...",27000,200000,1718,Semi Furnished,Newly Constructed,All,Ready to Move
76,2 BHK in Sholinganallur,"Independent House, Old Mahabalipuram Road, Near To Ecr Toll Gate ...",65000,300000,1610,Full Furnished,Newly Constructed,Company,Ready to Move
77,"3 BHK in Elegant Pinnacle, Semmancheri","Sathyabama University, Kamaraj Nagar, Semmancheri, Chennai",23000,100000,1586,Semi Furnished,Newly Constructed,Family,Ready to Move
78,"3 BHK in TNHB Flats, Sholinganallur","Rajiv Gandhi Salai, Near Sholinganallur Junctio",25000,150000,1185,Semi Furnished,Newly Constructed,All,Ready to Move
79,"4 BHK in Tvh Taus - Company Guest house or Rental, Egatoor","Natham Link Road, Near Navalur Toll Gate, Egatoor",25000,300000,2300,Semi Furnished,1-3 years ,All,Ready to Move
80,"3 BHK in Euphoria, Sholinganallur","Omr Road, Near Greater Chennai Corporation",30000,180000,1794,Semi Furnished,5-10 years ,All,Ready to Move
81,"3 BHK in Shanthapriya enclave, Thoraipakkam","Grundfos Pumps India (sales), Old Mahabalipuram Road, Ellaiamman ...",22000,132000,1500,Semi Furnished,3-5 years ,Family,Ready to Move
82,"3 BHK in Nithyam apartment, Anna Nagar","G Block,near Chinmaya Vidyalaya Senior Secondary School",38000,228000,2000,Semi Furnished,5-10 years ,Family,Ready to Move
83,"2 BHK in Guru Venkatam, Nanganallur","Ncbs Colony, Near V.v. Mart, 3rd Main Road.",16500,100000,1100,Semi Furnished,>10 years ,Family,Ready to Move
84,2 BHK in Ponniammanmedu,"Independent House, Krishna Street, Near Shell Petrol Bunk With Sh ...",9000,80000,750,UnFurnished,Newly Constructed,Family,Ready to Move
85,"2 BHK in Mahalakshmi Flats, Thoraipakkam","Ezhil Nagar, Raju Nagar, Near Akshara Matriculation Higher Second ...",20000,60000,900,Full Furnished,3-5 years ,Family,Ready to Move
86,"3 BHK in The Atrium, Thiruvanmiyur","Kalakshetra Foundation, Kalakshetra Road, Radhakrishnan Nagar, Th ...",55000,350000,1800,Semi Furnished,>10 years ,All,Ready to Move
87,2 BHK in Annanagar East,"Standalone Building, Nilgiri's, Block K, Annanagar East, Chennai",25000,250000,1600,Semi Furnished,5-10 years ,All,Ready to Move
88,"3 BHK in Alliance Orchid Springs, Korattur","Alliance Orchid Springs, Water Canal Road, Before Drj Hospital, K ...",19000,100000,1400,Semi Furnished,1-3 years ,Family,Ready to Move
89,"4 BHK in Shakthi Flats, Choolaimedu,","Gill Nagar, Near Saravana Catering And Meenakshi Narayanan Marria ...",30000,300000,1300,Semi Furnished,>10 years ,Family,Ready to Move
90,"2 BHK in Madipakkam, Chennai, Tamil Nadu, India","Independent House, Lakshmi Street Perumal Nagar",12000,120000,800,UnFurnished,1-3 years ,Family,Ready to Move
91,"3 BHK in WOW by Urban Tree, Soumya Nagar, Medavakkam","Wow By Urban Tree, Soumya Nagar, Medavakkam, Chennai",18000,72000,1343,Semi Furnished,Newly Constructed,Family,Ready to Move
92,"2 BHK in Balaji Enclave, Saligramam, Chennai, Tamil Nadu, India","Jawaharlal Nehru Rd, Near Sims Hospital",16000,100000,750,UnFurnished,>10 years ,Family,Ready to Move
93,2 BHK in Alwarthirunagar,"Standalone Building, Arcot Road, Veerappa Nagar, Alwarthirunagar, ...",19000,120000,850,Semi Furnished,5-10 years ,All,Ready to Move
94,"3 BHK in Alliance Orchid Springs, Korattur","Alliance Orchid Springs, Water Canal Road, Before Drj Hospital, K ...",19000,100000,1400,Semi Furnished,1-3 years ,Family,Ready to Move
95,"4 BHK in Shakthi Flats, Choolaimedu,","Gill Nagar, Near Saravana Catering And Meenakshi Narayanan Marria ...",30000,300000,1300,Semi Furnished,>10 years ,Family,Ready to Move
96,"4 BHK in House Of Hiranandani Birchwood, Egattur","House Of Hiranandani Birchwood, Egatoor",38000,380000,2451,Semi Furnished,3-5 years ,Family,Ready to Move
97,3 BHK in Selaiyur,"Independent House, Kozhi Pannai, Madambakkam Main Road, Madambakk ...",13000,50000,1500,Semi Furnished,1-3 years ,Family,Ready to Move
98,1 BHK in Perambur,"Standalone Building, S2 Cinemas, Paper Mills Road, Gopal Colony, ...",9000,60000,550,UnFurnished,>10 years ,All,Ready to Move
99,3 BHK in Mugalivakkam,"Independent House, Sakthi Nagar Main Rd 4th Cross Street, Ganesh ...",26000,176000,2000,Semi Furnished,Newly Constructed,Family,Ready to Move
100,2 BHK in Mogappair,"Independent House, Royal Villas Serviced Apartments (mogappair Da ...",15500,140000,1000,Semi Furnished,>10 years ,Family,Ready to Move
101,"2 BHK in MASI ENCLAVE, Kattupakkam","Ad Govidaraja Nagar, Near Inka Tuition Centre",15000,150000,1076,UnFurnished,1-3 years ,Family,Ready to Move
102,"2 BHK in Hiranandani Upscale, Egatoor","Hiranandani Upscale School, Kancheepuram",27000,200000,1400,Semi Furnished,5-10 years ,All,Ready to Move
103,2 BHK in Ashok Nagar,"Standalone Building, 1st Street, 3rd Avenue , Near Pallava Hospit ...",22000,144000,1100,Full Furnished,>10 years ,All,Ready to Move
104,"3 BHK in BBCL BBC City Paark, Valasaravakkam","Pon Vidyashram Group Of Cbse Schools, Arcot Road, Sai Nagar, Vala ...",22000,220000,1800,Semi Furnished,5-10 years ,All,Ready to Move
105,"3 BHK in Golden Opulence, Poonamallee","Golden Opulence, Poonamallee High Rd, Thirumal Nagar, Keelma Naga ...",19000,150000,1722,Semi Furnished,1-3 years ,All,Ready to Move
106,"2 BHK in Loyal Housing Green Garden, Ambattur","Annai Avenue, Omshakthi Nagar, Thiruvalluvar Street, Kallikuppam, ...",13000,100000,855,Semi Furnished,1-3 years ,Family,20-Feb-2019
107,"2 BHK in Manjula apartment, West Mambalam","Eashwaran Kovil Street, Near Madley Subway, Behind T Nagar Bus De ...",20000,120000,1000,Semi Furnished,>10 years ,All,Ready to Move
108,"3 BHK in Rahul Apartments, RA Puram","Pasumpon Muthuramalinga Thevar Rd, Near Anokhi",50000,210000,1800,Semi Furnished,>10 years ,Family,Ready to Move
109,2 BHK in New Perungalathur,"Standalone Building, Tambaram,marudham Street, Near Bhavani Amman ...",9000,35000,1100,UnFurnished,3-5 years ,All,Ready to Move
110,"2 BHK in Amsa Apartment, Valasaravakkam","Madha Cbse School, Chakarabani Nagar, Bharathi Nagar, Valasaravak ...",11000,50000,1100,Semi Furnished,5-10 years ,Family,01-Mar-2019
111,"3 BHK in Ozone Greens Chennai, Medavakkam","Perumbakkam Advent Christian Church, Perumbakkam Main Road, Perum ...",20000,150000,1746,Semi Furnished,Newly Constructed,Family,Ready to Move
112,"3 BHK in Dewside Manor, Chetpet",Mcnichols Road Near Radha Soami Satsang Beas,40000,300000,1860,Semi Furnished,>10 years ,Family,Ready to Move
113,"2 BHK in Dukes Manor 7, Madhanandapuram",Lalitha Nagar Near Mitra Medicals,20000,100000,1250,Full Furnished,3-5 years ,Family,Ready to Move
114,"3 BHK in Amarprakash Palm Riviera, Chennai Outer Ring Rd","Tirumudivakkam Main Road, Chennai Outer Ring Rd, Irandankattalai, ...",15000,90000,1265,Semi Furnished,1-3 years ,Family,01-Mar-2019
115,"2 BHK in RM Saraswathi, Chromepet","Vivekananda Street, Near St.marks Matriculation Higher Secondary ...",8300,80000,650,Semi Furnished,5-10 years ,Family,Ready to Move
116,"3 BHK in Ramaniyam Waterfront, Navalur","Old Mahabalipuram Rd, Kazhipathur, Tamil Nadu 603103, India",22000,75000,1750,Semi Furnished,5-10 years ,All,Ready to Move
117,"3 BHK in Elegant Palmera Gardens, Thoraipakkam",Shakti Srinivasan Salaii Near Sangeetha Hotel,25000,150000,1572,UnFurnished,5-10 years ,Family,Ready to Move
118,"3 BHK in Defence Colony, Ekkatuthangal, Chennai, Tamil Nadu","Independent House, Defence Colony, Ekkatuthangal (nandapakkam, De ...",50000,500000,2500,Semi Furnished,5-10 years ,Family,Ready to Move
119,2 BHK in Irumbuliyur,"Independent House, Thamarai Street, Near The Pentecostal Mission",9500,25000,700,Semi Furnished,5-10 years ,Family,Ready to Move
120,"2 BHK in silverpark appartment, T Nagar","Thanikachalam Road, T Nagar",27000,270000,1050,Semi Furnished,>10 years ,Family,Ready to Move
121,"2 BHK in Girija inbagam flats, Cholambedu",4th Right Cross Near Mangalam Thirumana Mahal,9500,50000,995,Semi Furnished,3-5 years ,Family,Ready to Move
122,"3 BHK in Nest Njoy Villas, Kanathur Reddikuppam","Indira Gandhi Street, Reddykuppam Main Rd, Kanathur Reddikuppam, ...",20000,100000,1360,Semi Furnished,Newly Constructed,All,Ready to Move
123,"2 BHK in ram sabari niwas, Tambaram","Mmda Nagar, Near Selvavinayagar Bhagavati Temple",9000,42500,786,Semi Furnished,3-5 years ,Family,Ready to Move
124,"3 BHK in Ozone The Metrozone, Anna Nagar","Pillaiyar Koil Street, Anna Nagar, Chennai, Tamil Nadu, India.",49500,500000,2062,Semi Furnished,1-3 years ,All,01-Mar-2019
125,"2 BHK in RM Saraswathi, Chromepet","Vivekananda Street, Near St.marks Matriculation Higher Secondary ...",8300,80000,650,Semi Furnished,5-10 years ,Family,Ready to Move
126,"3 BHK in Ramaniyam Waterfront, Navalur","Old Mahabalipuram Rd, Kazhipathur, Tamil Nadu 603103, India",22000,75000,1750,Semi Furnished,5-10 years ,All,Ready to Move
127,"3 BHK in Aishwaryam Flat, Medavakkam","4th Street,near, Vimala Nagar Park, Vimala Nagar",17000,80000,1640,Semi Furnished,5-10 years ,All,01-Mar-2019
128,"3 BHK in SAI PREM, Adyar","Ganesh Temple, Kasturba Nagar 3rd Cross Street, Venkata Rathnam N ...",50000,300000,1800,Semi Furnished,Newly Constructed,Family,Ready to Move
129,"2 BHK in Nilachal niwas, Kilpauk","Taylors Rd, Near Bsnl Telephone Exchange Staff Quarters, Telecom ...",35000,350000,1350,Semi Furnished,3-5 years ,Family,Ready to Move
130,"4 BHK in Puravankara Apartments, Pallikaranai","Puravankara Apartments, Pallikaranai, Chennai",27000,160000,2800,Semi Furnished,Newly Constructed,All,Ready to Move
131,2 BHK in Saligramam,"Independent House, Sri Ramar St Nehru Nagar, Near Sri Sankaranara ...",21500,150000,1000,Semi Furnished,1-3 years ,Family,Ready to Move
132,4+ BHK in Injambakkam,"Independent House, Cresendo,royal Enclave, Opp To Ecr Omr Food Co ...",65000,520000,4000,Full Furnished,3-5 years ,Family,Ready to Move
133,"3 BHK in SAI PREM, Adyar","Ganesh Temple, Kasturba Nagar 3rd Cross Street, Venkata Rathnam N ...",50000,300000,1800,Semi Furnished,Newly Constructed,Family,Ready to Move
134,"2 BHK in Nilachal niwas, Kilpauk","Taylors Rd, Near Bsnl Telephone Exchange Staff Quarters, Telecom ...",35000,350000,1350,Semi Furnished,3-5 years ,Family,Ready to Move
135,"3 BHK in Emaar Esplanade, Tondiarpet",New Vaithianathan Street Near Apollo Hospitals,32000,320000,1632,Full Furnished,5-10 years ,Family,Ready to Move
136,4 BHK in Pammal,"Standalone Building, Anakaputhur, Thendral Nagar, Thiruvika Salai ...",27000,200000,2500,Semi Furnished,3-5 years ,All,Ready to Move
137,"3 BHK in Ozone Groups Greens Phase 2, Perumbakkam",1st Main Rd Near Perumbakkam Advent Christian Church And Chennai ...,25000,150000,1700,Semi Furnished,Newly Constructed,All,Ready to Move
138,"3 BHK in Casa Grand Irene, Manapakkam","2/260, Manapakkam Road, Periya Palayatamman Nagar, Manapakkam, Ch ...",25000,150000,1475,Semi Furnished,Newly Constructed,Family,Ready to Move
139,"3 BHK in Golden Meadows, Annanagar East","Domino's Pizza, J Block, Annanagar East, Chennai",31500,189000,1565,Semi Furnished,>10 years ,Family,Ready to Move
140,"3 BHK in Amarprakash Palm Riviera, Chennai Outer Ring Rd","Tirumudivakkam Main Road, Chennai Outer Ring Rd, Irandankattalai, ...",15000,90000,1265,Semi Furnished,1-3 years ,Family,01-Mar-2019
141,4+ BHK in Injambakkam,"Independent House, Cresendo,royal Enclave, Opp To Ecr Omr Food Co ...",65000,520000,4000,Full Furnished,3-5 years ,Family,Ready to Move
142,"2 BHK in Kaaviya'S Yuthika, Mugalivakkam","Kaaviya Gardens, Ramasamy Nagar, 1st Main Rd, Ramakrishna Nagar, ...",13500,70000,925,Semi Furnished,3-5 years ,Family,10-Feb-2019
143,"3 BHK in Saif Gharana, Selaiyur","Mohan Nagar, Near Bharath University",14000,70000,1300,Semi Furnished,5-10 years ,Family,15-Feb-2019
144,"2 BHK in A.K.B'S Grandeurr, Selaiyur","Tambaram,near Bharath University",13000,75000,1002,Semi Furnished,3-5 years ,Family,Ready to Move
145,"1 BHK in Sri Sai Nivas, Thathankuppam, Villivakkam, Chennai, Tami ...","Villivakkam,palani Malai Nagar,near Indian Oil Petrol Bunk",11000,40000,700,Full Furnished,3-5 years ,All,Ready to Move
146,"2 BHK in Sapthamalika apartments, Chetpet","Ph Road Near Our Ladys Matriculation Higher Secondary School, Mcn ...",25000,150000,1100,UnFurnished,>10 years ,All,Ready to Move
147,1 BHK in Ashok Nagar,"Independent House, Near Anjaneyar Temple Ashok Nagar, Indira Colo ...",25000,100000,900,Full Furnished,>10 years ,All,Ready to Move
148,"1 BHK in Mega House, Vaysarpadi","Melpatti Ponnappan St, Near Vinyagar Temple And Fire Station",6000,30000,475,UnFurnished,1-3 years ,Family,Ready to Move
149,2 BHK in Tiruvottiyur,"Standalone Building, Bharathi Nagar,1st Street Near Kavi Bharathi ...",9000,50000,700,UnFurnished,1-3 years ,Family,Ready to Move
150,"2 BHK in srisheatkamal Apartment, Pallikaranai",Near Balaji Dental College,14000,140000,1100,Semi Furnished,1-3 years ,Family,Ready to Move
151,"2 BHK in Kg Signature City Phase I, Mogappair","200 Feet Bypass Road, Maduravoyal Ambattur Road, Off Poonamalee R ...",20000,200000,1000,Semi Furnished,Newly Constructed,Family,01-Mar-2019
